STATE,COUNTY,GROCPC,SNAPStoresPERTHO,SNAPRedemp,AMB_PAR06,PCT_FREE_LUNCH,PCT_REDUCED_LUNCH,PC_FRUVEG,PC_SNACKS,PC_SODA,PC_MEAT,PC_FATS,PC_PREPFOO,MILK_PRICE,SODA_PRICE,PCT_DIABET,PCT_OBESE_ADULTS,PCT_Child_OBESITY,PctNHWhite,PctNHBlack,PctHisp08,PctNHAsian,PctNHNA08,Median_Inc,Percent_Poverty,metro
Iowa,Crawford,0.303,0.731,153964,79,39,8.2,174,120,66,68,19,315,0.89,0.98,8.1,28.6,21.8,77.8,1,20,0.5,0.2,44444,12.3,0
Iowa,Dallas,0.157,0.467,66833,82,15.1,5.4,174,120,66,68,19,315,0.89,0.98,6.5,28,17.1,90.1,1.2,6.1,1.8,0.1,69052,6.6,1
Iowa,Davis,0.117,0.467,64665,83,24.1,8.9,169,122,64,61,21,298,0.88,0.97,7.9,26.7,16.7,97.3,0.2,1.3,0.2,0.2,43342,14.1,0
Iowa,Decatur,0.237,0.714,96991,94,33.5,11.8,174,120,66,68,19,315,0.89,0.98,7.7,26,12.7,94.1,1.1,2.5,0.8,0.2,33939,21.7,0
Iowa,Delaware,0.229,0.636,72658,85,16.2,9.7,169,122,64,61,21,298,0.88,0.97,7.9,27.8,9.3,98.4,0.1,0.8,0.2,0.1,49636,9.5,0
Iowa,Des Moines,0.123,1.034,199001,87,30.8,7.1,169,122,64,61,21,298,0.88,0.97,8.5,30,11.3,90.8,4.3,2.5,0.7,0.3,43489,14.7,0
Iowa,Dickinson,0.24,0.894,70053,92,15.9,7.9,169,122,64,61,21,298,0.88,0.97,8.7,27.2,14.7,97.8,0.2,1,0.3,0.2,50185,7.9,0
Iowa,Dubuque,0.119,0.733,127893,85,23.2,9.8,169,122,64,61,21,298,0.88,0.97,7.2,27.3,12.7,94.6,1.7,1.9,0.8,0.2,49160,10.6,1
Iowa,Emmet,0.385,0.861,73210,77,27.5,12.9,169,122,64,61,21,298,0.88,0.97,8.7,28.7,12.7,92.4,0.3,6.1,0.4,0.2,42568,12.1,0
Iowa,Fayette,0.098,1.233,64341,93,26.7,10.3,169,122,64,61,21,298,0.88,0.97,8.3,28.2,15.9,95.8,0.8,2,0.6,0.2,40706,14.2,0
Iowa,Floyd,0.184,1.112,78803,87,26.1,8.3,169,122,64,61,21,298,0.88,0.97,8.6,28.4,12.9,95.7,1,1.8,0.8,0.1,43393,12,0
Iowa,Franklin,0.19,0.954,50264,72,30.8,8.1,174,120,66,68,19,315,0.89,0.98,8.6,27.8,17.5,87,0.1,12.4,0.2,,47270,10.3,0
Iowa,Fremont,0.53,0.94,35716,85,26,13.8,174,120,66,68,19,315,0.89,0.98,8.6,29.2,19.6,94.9,0.5,3.1,0.3,0.3,45979,10.9,0
Iowa,Greene,0.105,0.753,91313,68,29.4,8.4,174,120,66,68,19,315,0.89,0.98,8.5,28.7,17.5,96.4,0.2,2.4,0.3,0.1,45911,10.7,0
Iowa,Grundy,0.494,0.903,14765,88,14.3,6.4,169,122,64,61,21,298,0.88,0.97,8.7,27.4,15.7,98.1,0.1,1,0.3,,58547,6.4,1
Iowa,Guthrie,0.272,0.73,25245,85,21.8,8.6,174,120,66,68,19,315,0.89,0.98,8.1,27.6,12.6,96.6,0.3,2.2,0.2,0.1,48430,9.4,1
Iowa,Hamilton,0.193,0.977,59542,77,21.2,9.6,174,120,66,68,19,315,0.89,0.98,8.2,28.3,12.7,94.3,0.3,2.3,2,0.2,49612,8.8,0
Iowa,Hancock,0.352,0.881,25987,77,18.3,9.8,169,122,64,61,21,298,0.88,0.97,8.7,28.9,17.4,95.1,0.1,3.8,0.4,0.1,47588,8.6,0
Iowa,Hardin,0.343,1.094,68195,84,23.5,8,174,120,66,68,19,315,0.89,0.98,8.8,27.9,15.8,94.7,0.8,3.3,0.4,0.1,46240,11.9,0
Iowa,Harrison,0.195,0.788,47573,91,22.2,10,174,120,66,68,19,315,0.89,0.98,7.8,28,17.3,97.1,0.1,1.3,0.5,0.2,50362,10.8,1
Iowa,Henry,0.297,0.742,158876,74,25.1,8,169,122,64,61,21,298,0.88,0.97,7.8,28,14.1,92.6,1.8,2.1,2.1,0.3,47353,12.1,0
Iowa,Howard,0.315,0.949,51210,78,16.4,11.3,169,122,64,61,21,298,0.88,0.97,8.3,27.1,15.9,98.1,0.1,1,0.2,0.2,42318,11.1,0
Iowa,Humboldt,0.209,0.946,65457,74,20.5,6.9,174,120,66,68,19,315,0.89,0.98,8.5,27.9,12.7,96.2,0.1,2.6,0.4,0.1,49027,10.5,0
Iowa,Ida,0.289,0.729,47016,69,20.7,10.9,169,122,64,61,21,298,0.88,0.97,8.6,27.7,11.1,97.8,0.1,1.1,0.2,0.1,44890,10.2,0
Iowa,Iowa,0.252,0.756,45356,87,14.6,5.5,169,122,64,61,21,298,0.88,0.97,8.5,29.4,19.4,97.2,0.3,1.5,0.4,0.1,54129,7.9,0
Iowa,Jackson,0.3,0.701,130237,77,24.3,9.3,169,122,64,61,21,298,0.88,0.97,8.2,28,14.3,97.9,0.3,0.9,0.1,0.1,41944,12.5,0
Iowa,Jasper,0.191,0.902,94462,82,20.9,7,174,120,66,68,19,315,0.89,0.98,8.7,30,14.2,95.9,1,1.5,0.6,0.2,48734,10.4,0
Iowa,Jefferson,0.193,0.711,162390,88,27.3,8.2,169,122,64,61,21,298,0.88,0.97,7.8,28.1,11,93.5,0.9,2.5,2,0.2,43257,14.3,0
Iowa,Johnson,0.207,0.398,207657,95,18.6,3.5,169,122,64,61,21,298,0.88,0.97,5.3,22.1,11.4,86.6,3.9,3.3,4.6,0.3,54871,15.7,1
Iowa,Jones,0.246,0.836,71345,84,20.1,8.9,169,122,64,61,21,298,0.88,0.97,7.5,27,13,95.4,2.1,1.3,0.2,0.3,46012,11.6,1
Iowa,Keokuk,0.372,0.841,25989,86,20.7,6.5,169,122,64,61,21,298,0.88,0.97,8.7,26.9,15.1,98.2,0.2,0.8,0.3,0.1,42683,12.7,0
Iowa,Kossuth,0.513,0.711,72511,78,21.7,10.5,169,122,64,61,21,298,0.88,0.97,8.4,26.9,16.4,97.5,0.2,1.3,0.4,0.2,46389,11.1,0
Iowa,Lee,0.224,0.791,212497,84,36.5,7.7,169,122,64,61,21,298,0.88,0.97,8.1,28.2,13.2,91.8,3.1,2.7,0.6,0.3,43718,14.6,0
Iowa,Linn,0.131,0.853,144421,96,22.4,5.8,169,122,64,61,21,298,0.88,0.97,7.2,28.6,13.4,90.3,3.5,2.4,2,0.4,55173,9.3,1
Iowa,Louisa,0.425,1.023,35058,75,34.9,11.6,169,122,64,61,21,298,0.88,0.97,8.2,28.8,18.7,82.8,0.6,15.7,0.2,0.2,44429,11.2,0
